"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight","Length","Width","Height","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","meta:datasheet_url","meta:variants"
"","simple","pin-up","Pin-Up, Design by Andrea Tosetto, 2015","1","0","visible","Pin-Up
				A striking, compact light with a simple, organic design, Pin-Up opens like a shell to provide a bright lig...","Pin-Up
				A striking, compact light with a simple, organic design, Pin-Up opens like a shell to provide a bright light and the quality of LED lighting. A light that can be modelled at will thanks to the flexibility of the light fixture and the availability of two LED sources.

									
					
						Simple elegance which encloses the light like a shell with its pearl. Designed by Andrea Tosetto, Pin-Up is an elegant compact light fixture which surprises with the different light effects projected on the wall or ceiling. It has a steel structure consisting of a part fixed to the wall and a mobile part with a glass lens which contains a dimmable LED. When closed, Pin-Up emanates a soft and delicate light; when the upper part is tilted up to 90° and the structure rotated up to 355°, it creates plays of light which vary in intensity. Its excellent flexibility and three finishes, in matte white, coppery bronze and matte black, allows it to fit perfectly into a variety of settings.
 
Pin-Up is available with warmer (2700 K) or colder light (3000 K). The light is diffused through a convex glass lens which prevents the glare of direct light. With its elegant simplicity, Pin-Up is perfect for use as an instant bedside reading light, ideal as a light source on a staircase or in a corridor and versatile enough to light up the wall in a living room.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Wall","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Pin-Up-06.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Pin–Up_coppery-bronze.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Pin–Up_matte-white.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/155IS40E0001_Rev00_CE_PRINT.pdf","10 variants available"
"","simple","flask","Flask, Suspension Lamp","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Flask-02.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/503IS10E0001_Rev00_CE_PRINT.pdf","15 variants available"
"","simple","volum-soffitto","Volum, Design by Snøhetta, 2023","1","0","visible","Volum
				Volum celebrates the elegance of simplicity with a series of lamps that, in their similar yet intimately di...","Volum
				Volum celebrates the elegance of simplicity with a series of lamps that, in their similar yet intimately different shapes, complement each other in poetic compositions that narrate an all-round illumination, tailored for various functions and uses. Behind its apparent simplicity, the collection designed in collaboration with architectural firm Snøhetta conceals a complex technical achievement, paying homage to the ancient glassblowing technique that gives life to naturally imperfect shapes. The blown glass spheres of the diffuser, available in diameters of 14, 22, 29, and 42 cm, feature a glossy white finish that evenly radiates light.

									
					
						
The Volum family includes various models – cluster suspension, ceiling, wall, table, and floor lamps – that enhance any space and situation, whether used individually or in compositions to create original lighting solutions.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Ceiling","lodes","","https://www.lodes.com/wp-content/uploads/2023/01/Volum-New-10.jpg|https://www.lodes.com/wp-content/uploads/2023/01/Volum-New-08.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2023/01/209IS40E0001_Rev00_CE_PRINT.pdf","16 variants available"
"","simple","easy-peasy","Easy Peasy, Design by Luca Nichetto, 2020","1","0","visible","Easy Peasy
				With a strong personality and a sculptural form reminiscing the shape of bells, Easy Peasy is a set of...","Easy Peasy
				With a strong personality and a sculptural form reminiscing the shape of bells, Easy Peasy is a set of portable and rechargeable table lamps, consisting of two rounded elements, a body and a knob. Made of blown glass, Easy Peasy allows for personal customisation of the living spaces. Its portability, different shapes and colours, and the dim-to-warm functionality of its light source allow users to connect, play and interact with the variable configuration options.

									
					
						Like a set of friendly characters reminiscent of dolls, Easy Peasy portable and rechargeable lamps reflect in their name a playful spirit. With a sculptural design that aims for minimal elegance through rounded shapes and eclectic colour combinations, Easy Peasy portable lamp adds warmth and character to any environment.
 
Available in four colour combinations, each lamp is composed of two elements, a body and a pommel. The body of the lamp features a metal base housing the LED light source and a white methacrylate diffuser wrapped by a glass bell. The glass filters the light and comes in two different shapes and colours. On top, a rounded pommel allows to turn the lamp on and off and to dim the intensity and warmth of the light. The dim-to-warm function makes Easy Peasy the perfect choice for an intimate and familiar atmosphere in domestic settings as well as in hotels and restaurants.
 
Easy Peasy surprises with its wealth of details, combining senses and functions. The tactile diversity of its surfaces, in which shiny and transparent, metal and glass coexist in a captivating contrast, is accentuated by sophisticated and contemporary colour combinations, while the pommel is the key element in which colours, innate gestures and the control of technological functions coexist. A micro-USB socket at the base of the body is provided to recharge the battery. More than a lamp, it is a lively companion that warms any room with luminous intimacy.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Table","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-08.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-05.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-01.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-02.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-04.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-07.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Easy-Peasy-lagoon_2.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/IST-17001_Rev01_PRINT.pdf","20 variants available"
"","simple","flar","Flar, Design by Patrick Norguet, 2022","1","0","visible","Flar
				The name Flar evokes images of a flare or ‘flamboiement’ in French – an intense blaze or burst of light. Hig...","Flar
				The name Flar evokes images of a flare or ‘flamboiement’ in French – an intense blaze or burst of light. Highly impactful in its simplicity, Flar is a floor and table lamp that does not go unnoticed.

									
					
						
Inspired by traditional storm lanterns which use glass pipes to protect the flame, Flar features a billowing glass shade designed to surround an LED filament bulb, to magnify the light source and diffuse a very soft light, filtered by the tinted glass, almost like a contemporary candle.
 
Flar comprises a steel base which opens like a flower, leading to a moulded blown glass shade. The contrast between the precise 3D laser cut base and the uniqueness of the blown glass bubble enhances the personality of the lamp.
 
Flar is available in two sizes: Large, 62.5 cm tall, and Medium, measuring 47 cm. The 3D laser-cut steel base is available in Terra and Champagne finishes, while the blown glass diffuser is available in two colours, Honey and Turquoise. The power cord is black, with a dimmer switch.
 
The Flar collection suits different uses such as on a low console table or next to a sofa. Together, the two sizes offer an opportunity to play with scale to create a unique composition for a hotel lounge or retail space.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Floor","lodes","","https://www.lodes.com/wp-content/uploads/2021/12/Flar-02.jpg|https://www.lodes.com/wp-content/uploads/2021/12/Flar-03.jpg|https://www.lodes.com/wp-content/uploads/2021/12/Flar-04.jpg|https://www.lodes.com/wp-content/uploads/2021/12/Flar-05.jpg|https://www.lodes.com/wp-content/uploads/2021/12/Flar-07.jpg|https://www.lodes.com/wp-content/uploads/2022/02/Flar_large-and-medium_terrahoney-champagneturquoise.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2022/02/191IS80E0001_Rev00_CE._PRINT.pdf","30 variants available"
"","simple","random","Random, Design by Chia–Ying Lee, 2017","1","0","visible","Random
				A lightweight, blown glass suspension lamp, Random is made up of three round diffusers of different sizes...","Random
				A lightweight, blown glass suspension lamp, Random is made up of three round diffusers of different sizes which form one simple, eye-catching whole. Each diffuser has an LED light source which emits a soft white light. When grouped together on a cluster, Random light fixtures form a poetic composition like soap bubbles, enhanced by the contemporary finishes which add a touch of character and originality.

									
					
						
Designed by Chia-Ying Lee, Random conjures up images of frothy bubbles dancing playfully in the wind. Random emulates the ephemeral nature of bubbles with perfectly smooth blown glass that is resistant to temperature fluctuations. Slender metal wires support the three spheres measuring 18, 14 and 12 cm in diameter. A thin metal cylinder houses the cables of each sphere and creates a cluster of lights. Random experiences a modification of the driver, which must be housed in the canopy.
 
Suspended on the power cord, Random diffuses a soft light with warmer (2700k) or colder (3000k) colour temperature* emitted by the three 1W LEDs, one for each of the three blown glass spheres. The LED light source is positioned in a silicone seat in the upper part of the light. The colour rendering index (CRI) of 90 retains the true colour of objects.
 
The innate playful nature of Random conjures up emotion-filled light effects. It can be used on its own to illuminate a table or in clusters to light larger areas in the home. With a choice of seven colour options, Random interprets the concept of a random composition in a creative and fun way. The different finishes offer ample freedom in composing sets of effervescent blends of light creating a dynamic dialogue with the setting in which they are suspended.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Cluster suspension","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Random-02.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-01-1.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-2025-01.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-2025-02.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-cluster-suspension-25-01.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random_glossy-bronze-chrome.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-cluster-suspension-25-02.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-01A-22.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-02-1.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-03-1.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/164IS10E0001_Rev01_CE_PRINT.pdf","29 variants available"
"","simple","puzzle-ceiling","Puzzle, Design by Lodes, 2014","1","0","visible","Puzzle
				Essential forms in metal, square and rectangular, which seem to disappear in the ceiling or wall. In Puzzl...","Puzzle
				Essential forms in metal, square and rectangular, which seem to disappear in the ceiling or wall. In Puzzle lamps, light becomes the feature element of living spaces, creating soft, geometric effects.

									
					
						Clean and geometric lines merge with the walls or ceiling, lighting them up with soft and welcoming light. Puzzle lamps play with shapes, composed in three different versions: single and double square, rectangle and square. The play continues thanks to the possibility to position Puzzle wherever preferred based on the available space, and to create highly personalised light effects. Thanks to the two neutral tone finishes in matte white and matte black, their discrete style instils a pleasant atmosphere in different areas of the home, from the living room to the bedroom.
 
The 15W LED light source (2 × 15W in the double versions) is housed in the inner side of the aluminium body, configured to facilitate heat dispersion. Just like a mirror, the inside of the lamp body amplifies the reflection of the light on the wall. The light temperature is available with a warmer (2700K) or colder tone (3000K). The colour rendering index (CRI) of 92 mirrors the true colour of objects without distorting them. The essential forms of Puzzle lamps sit perfectly in spaces characterised by a distinctly modern style, creating harmonious and soothing background lighting.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Ceiling","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Puzzle-Soffitto-01.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Puzzle-Soffitto-02.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/146IS40E0001_Rev00_CE_PRINT.pdf","21 variants available"
"","simple","megaphone","Megaphone - Lodes","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2024/05/Megaphone-06.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2024/05/524IS20E0001_Rev00_CE_print.pdf","5 variants available"
"","simple","cono-di-luce-tavolo","Cono di Luce, Design by Ron Arad, 2023","1","0","visible","Cono di Luce
				Lodes and internationally renowned artist and designer Ron Arad have joined forces to create Cono di...","Cono di Luce
				Lodes and internationally renowned artist and designer Ron Arad have joined forces to create Cono di Luce, a one-of-a-kind suspension lamp that combines the former’s cutting-edge expertise with the latter’s creativity.

									
					
						
The technology enclosed in Cono di Luce defines its identity. Using a flexible printed circuit board in a groundbreaking way, encapsulated within an element as simple as a transparent Pyrex® cone, the lamp exudes a dualism between on and off that is easily discernible.
 
The frame, also made of PCB, thanks to its 1.6 mm thickness, has several functions: to provide support for the lamp and enable it to be switched on, as well as to keep the PCB sheet in the right position.
 
When illuminated, Cono di Luce reveals its true decorative essence, boasting an optical interplay of lights, shadows, and overlapping patterns that showcase the designer’s creative flair and Lodes’ renowned manufacturing expertise.
 
It is available in three frame finishes: red, grey and gold, and in two variants, table and suspension.
 
Cono di Luce is proposed as a design element for sophisticated environments, embodying the values shared by Lodes and Ron Arad: to create a collection that is both accessible and highly efficient in light.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Table","lodes","","https://www.lodes.com/wp-content/uploads/2024/01/Cono-di-Luce-06.jpg|https://www.lodes.com/wp-content/uploads/2024/01/Cono-di-Luce-07.jpg|https://www.lodes.com/wp-content/uploads/2024/01/Cono-di-Luce-10.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2024/01/210IS80E0001_Rev00_PRINT.pdf","10 variants available"
"","simple","laser","Laser, Design by Lodes, 2015","1","0","visible","Laser
				Laser is a compact, versatile light fixture in the shape of a box with an attractive architectural look. Fr...","Laser
				Laser is a compact, versatile light fixture in the shape of a box with an attractive architectural look. From its painted steel structure, available in three different finishes, the LED light source diffuses a functional and evocative two-way light that creates plays of light and shadow on the wall.

									
					
						A simple geometric shape which makes a bold statement in areas where light is the protagonist. Laser measures 10 × 10 cm and has a painted metal structure available in three different finishes: matte white, matte black and champagne. The inner body of the light fixture is triangular which allows the beams of light to be diffused both upwards and downwards.
 
Laser is mounted flush to wall and emits warm or cold light. The light fixture is fitted with a 16W LED whose colour rendering index (CRI) of 92 offers true colour reproduction. The aluminium heatsink inside the light fixture optimises the performance of the LED. Thanks to its compact size and high-performance light, Lase blends seamlessly into a wide variety of spaces. It is handy as a beside light or in a corridor whereas in the living room, it becomes a mini sculpture that brings the walls to life.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Wall","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Laser_matte-white.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Laser_champagne.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Laser_matte-black.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/036IS50E0001_Rev00_CE_PRINT.pdf","10 variants available"
"","simple","puzzle-round-wall","Puzzle Round, Design by Lodes, 2016","1","0","visible","Puzzle Round
				With its soft shapes, flexible joints and LED light source, Puzzle Round can be adjusted at will to...","Puzzle Round
				With its soft shapes, flexible joints and LED light source, Puzzle Round can be adjusted at will to create striking light effects on walls and ceilings. The unobtrusive aesthetics and the four available finishes make it perfect for the most varied living contexts.

									
					
						 Geometric, soft and ductile forms transform light into a malleable essence to be diffused on the walls and ceiling. Puzzle Round allows the personalisation of internal lighting, adjusting it at will thanks to the structure fitted with flexible joints, allowing the lamp to be tilted by 85° and rotated up to 355°. Housing a LED light inside, Puzzle Round allows the development of ever-changing plays of light, which are doubled in the Double Round version. Champagne, matte white, coppery bronze and matte black are the finishes proposed for this simple and versatile lamp, capable of offering surprising light effects in any type of space.
 
Made in aluminium, the Puzzle Round structure has a diameter of 19 cm. The light source uses a 16W LED light (2 × 16W in the double version) with a colour rendering index (CRI) of 92, ensuring a faithful reproduction of colours. Diffuses an indirect light, either warmer, 2700K, or cooler, 3000K. Whether in a small room or passageway such as a corridor or foyer, the incredible flexibility distinguishing Puzzle Round enhances its surrounds, expressing the creative potential of light in any context.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Wall","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/PuzzleRound-Wall-05.jpg|https://www.lodes.com/wp-content/uploads/2021/09/Puzzle-Round-1.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Puzzle-Round-single_matte-black.jpg|https://www.lodes.com/wp-content/uploads/2021/03/PuzzleRound_Single_CopperyBronze_Amb_RGB.jpg|https://www.lodes.com/wp-content/uploads/2021/09/Puzzle-Round-4.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/159IS40E0001_Rev00_CE_PRINT.pdf","26 variants available"
"","simple","sky-fall-round","Sky-Fall Round, Design by Lodes, 2024","1","0","visible","Sky-Fall Round
				In Sky–Fall, the traditional glass processing techniques embrace the most advanced LED technologie...","Sky-Fall Round
				In Sky–Fall, the traditional glass processing techniques embrace the most advanced LED technologies. The shape of Sky–Fall captures the imagination in its reminiscence of ancient decanters in precious blown glass. Its function amazes thanks to the innovative double LED source that diffuses direct and indirect light. Available in two sizes and in four finishes, and in 2700 or 3000 K* light colour temperature versions, Sky–Fall decorates both when it is on and when it is off. Now added to the family is the new Sky-Fall Round: a further variant featuring a spherically shaped diffuser available in two sizes and four finishes, including the new, precious golden sage. The new finish also extends to Sky-Fall in both sizes.
* North America: 2700k only","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Suspension","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Sky-Fall-Round-16.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Sky-Fall-Round-13.jpg|https://www.lodes.com/wp-content/uploads/2024/10/Lodes-Sky-FallRound-0325.jpg|https://www.lodes.com/wp-content/uploads/2024/10/Sky–Fall-round-medium_clear.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/ist-14801_SkyFall_Pendant_2021.05..06-USA_.pdf","40 variants available"
"","simple","puzzle-outdoor-single","Puzzle Single  Round, Design by Lodes, 2025","1","0","visible","Puzzle Single  Round
				Puzzle Outdoor is the evolution of Lodes’ namesake wall lights, now designed for outdoor use...","Puzzle Single  Round
				Puzzle Outdoor is the evolution of Lodes’ namesake wall lights, now designed for outdoor use. Essential and discreet by day, it comes to life after sunset, igniting unexpected atmospheres that bring out the best in spaces, architecture, and diverse scenarios.

									
					
						
With its simple, balanced circular form, Puzzle Outdoor harmonises with exterior surfaces. Its grazing light effect highlights façades and architectural details, helping to create soft, evocative moods that enhance material textures.
 
Four finishes – white, anthracite, champagne, and natural brown – designed to blend in with wall colours or create subtle contrasts, allow for tailored lighting solutions in any outdoor setting: from residential and commercial façades to terraces, porches, entrances, and exterior staircases. Available in single or double versions, Puzzle Outdoor can be rotated 355° and tilted up to 85° to modulate the light and add a dynamic element – allowing the light to be directed as desired to create pathways or highlight specific architectural features.","","","taxable","","1","","","0","0","","","","","1","","","","Outdoor","lodes","","https://www.lodes.com/wp-content/uploads/2025/08/Lodes-Outdoor-Puzzle-Outdoor-4.jpg|https://www.lodes.com/wp-content/uploads/2025/08/Lodes-Outdoor-Puzzle-Outdoor-1.jpg|https://www.lodes.com/wp-content/uploads/2025/08/Lodes-Outdoor-Puzzle-Outdoor-3-1.jpg|https://www.lodes.com/wp-content/uploads/2025/08/Lodes-Outdoor-Puzzle-Outdoor-2-1.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2025/08/159IS90E0002_Rev02_print.pdf","26 variants available"
"","simple","cross","Cross - Lodes","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2024/05/Cross-04.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2024/05/524IS20E0001_Rev00_CE_print.pdf","3 variants available"
"","simple","random-stick","Random Stick, Design by Chia–Ying Lee, 2024","1","0","visible","Random Stick
				Random Stick brings the collection of the same name designed by Chia-Ying Lee into the horizontal di...","Random Stick
				Random Stick brings the collection of the same name designed by Chia-Ying Lee into the horizontal dimension with a suspension lamp that is both essential and highly decorative. The poetic blown-glass spheres, perfect in their smooth surfaces, rest on a hexagonal bar with strong aesthetic appeal, almost as if they were fragile soap bubbles grazing the surface before taking flight again.
Lodes has crafted a highly functional piece by placing LEDs on the underside of the bar. This design choice complements the light already diffused by the spheres and ensures uniform downward illumination, making it ideal for lighting surfaces below.
Random Stick is available in two versions: the 100 cm model with four spheres and two LEDs, suitable for placement above a dining table or desk; and the 150 cm model with six spheres and three LEDs, perfect for illuminating longer surfaces like a cocktail bar counter or in retail settings, and it can also be installed in multiples.
The spheres come in seven finishes from the Random collection, which can be freely combined on bars available in glossy gold, glossy black, and matte white, allowing for original colour play and fun lighting effects that highlight the concept of randomness and evanescence, reminiscent of bubbles. The numerous combinations possible by mixing the colours of the bars and spheres result in diverse characters and lighting effects, from bold tones and striking contrasts to subtle tone-on-tone nuances, enabling you to create the perfect solution to suit the style of any room.
Thanks to its design and the option to configure it with a special canopy, specifically created for this type of pendant lamp, Random Stick can also be installed in spaces where the light point is not centrally located.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Suspension","lodes","","https://www.lodes.com/wp-content/uploads/2024/08/RandomStick-6.jpg|https://www.lodes.com/wp-content/uploads/2024/08/RandomStick-1.jpg|https://www.lodes.com/wp-content/uploads/2024/08/RandomStick-2.jpg|https://www.lodes.com/wp-content/uploads/2024/08/RandomStick-3.jpg|https://www.lodes.com/wp-content/uploads/2024/08/RandomStick-4.jpg|https://www.lodes.com/wp-content/uploads/2024/09/23420M-2230U17110V-4317111V-1317112V-4617110V-43.jpg|https://www.lodes.com/wp-content/uploads/2024/09/23420M-5030U17110V-4317111V-0017112V-4017110V-00.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2024/08/Lodes-Random-Stick-long.pdf","36 variants available"
"","simple","fork","Fork, Floor, Table & Suspension Lamp","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Fork-04.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/IST-50503_FORK_Small_2023.03_CE.pdf","52 variants available"
"","simple","glass-drop","Glass Drop, Suspension Lamp","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Glass-Drop-03.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/504IS10E0001_Rev01_CE_PRINT.pdf","5 variants available"
"","simple","sky-fall","Sky-Fall, Design by Lodes, 2014/2024","1","0","visible","Sky-Fall
				In Sky–Fall, the traditional glass processing techniques embrace the most advanced LED technologies. The...","Sky-Fall
				In Sky–Fall, the traditional glass processing techniques embrace the most advanced LED technologies. The shape of Sky–Fall captures the imagination in its reminiscence of ancient decanters in precious blown glass. Its function amazes thanks to the innovative double LED source that diffuses direct and indirect light. Available in two sizes and in four finishes, and in 2700 or 3000 K* light colour temperature versions, Sky–Fall decorates both when it is on and when it is off. Now added to the family is the new Sky-Fall Round: a further variant featuring a spherically shaped diffuser available in two sizes and four finishes, including the new, precious golden sage. The new finish also extends to Sky-Fall in both sizes.
* North America: 2700k only","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Suspension","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Sky-Fall-05.jpg|https://www.lodes.com/wp-content/uploads/2024/10/Lodes-Sky-FallRound-0325.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Sky-Fall-2025-02.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/ist-14801_SkyFall_Pendant_2023.02.01_CE_pag.pdf","50 variants available"
"","simple","gask","Gask, Suspension Lamp","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/DLWL-Gask-01.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/03/506IS10E0001_Rev01_CE_PRINT.pdf","7 variants available"
"","simple","croma","Croma, Design by Luca Nichetto, 2021","1","0","visible","Croma
				Taking its name from the Italian word for a ‘quaver’ or ‘eighth’, the floor lamp Croma reflects the dynamis...","Croma
				Taking its name from the Italian word for a ‘quaver’ or ‘eighth’, the floor lamp Croma reflects the dynamism of the musical note in its slender frame. In contrast to the classic floor lamp, which typically opens out at the top, Luca Nichetto turned the frame on its head to create a revolutionary product. Immediate in its function, elegant in the four available finishes, Croma’s powerful light output and dim-to-warm function make it suitable for a variety of environments.

									
					
						
Croma’s slender metal frame, which dispels washes of light upwards across the wall and ceiling, reflects the dynamism of the musical note from which it derives its name.
Reaching 186cm in total, the floor lamp designed by Luca Nichetto features a conical base that provides stability and a sleek body which casts a powerful ray of light from its LED source. A ring conveniently positioned halfway up the stem allows the user to switch the lamp on and off, and to utilise its dim to warm function, which extends from 2200 to 3200 kelvin.
Croma is available in four unique finishes. The metallic ombré effects fade from green to black and from bronze to nickel, their gradient referencing the way the light can radiate upwards against a wall. The two matte shades, in solid white and black, have a texturised finish that would be well suited to any residential and commercial setting.
Croma is an elegant yet striking product that embodies Lodes’ ethos – considered design with powerful and personalised lighting that prioritises the end user.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Floor","lodes","","https://www.lodes.com/wp-content/uploads/2021/09/Croma-9.jpg|https://www.lodes.com/wp-content/uploads/2021/09/Croma-1-1.jpg|https://www.lodes.com/wp-content/uploads/2021/09/Croma-5-1.jpg|https://www.lodes.com/wp-content/uploads/2021/09/Croma-2_green.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2021/09/IST-17201_Rev00_CE.pdf","9 variants available"
"","simple","magic-mushroom","Magic Mushroom - Lodes","1","0","visible","No description available","No description available","","","taxable","","1","","","0","0","","","","","1","","","","Diesel Living with Lodes","lodes","","https://www.lodes.com/wp-content/uploads/2023/07/Magic-Mushroom-01.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2023/07/522IS80E0001_Rev00_CE_PRINT-1.pdf","4 variants available"
"","simple","random-solo","Random Solo, Design by Chia–Ying Lee, 2020","1","0","visible","Random Solo
				Six perfect spheres floating in the air like gentle glass bubbles. Random Solo revisits the concept o...","Random Solo
				Six perfect spheres floating in the air like gentle glass bubbles. Random Solo revisits the concept of the Random suspension lamp by parting the original three-piece cluster and releasing the individuality of the spherical shapes, which float like bubbles of light, letting you imagine compositions of luminous harmonies. Thanks to the new 10 cm size, there are now six dimensions and seven different finishes available, offering ample styling freedom, both as individually suspended light points and in lightweight and lively combinations on clusters.","","","taxable","","1","","","0","0","","","","","1","","","","Collections, Cluster suspension","lodes","","https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-02.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-03.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-04.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-08.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-09.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-10.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Random-Solo-17.png|https://www.lodes.com/wp-content/uploads/2021/03/Ransom-Solo-16.jpg|https://www.lodes.com/wp-content/uploads/2021/03/RandomSolo_glossy-bronze-clear_2.jpg|https://www.lodes.com/wp-content/uploads/2021/03/Lodes-RandomSolo-0325.jpg","","","","","","","","","0","https://www.lodes.com/wp-content/uploads/2024/01/171IS10E0001_Rev05_CE_PRINT.pdf","132 variants available"
